#{"t_start": 1596974959.4286354, "env_id": "gripper-env-v0"}
r,s,l,c,timesteps,t
1.0,0.62,39,0.75,1072499,43544.036372
1.0,0.621,39,0.75,1072538,43545.474534
0.0,0.621,39,0.75,1072577,43546.717588
1.0,0.622,39,0.75,1072616,43548.273345
0.0,0.621,39,0.75,1072655,43549.806008
0.0,0.621,36,0.75,1072691,43551.069451
0.0,0.62,39,0.75,1072730,43552.377938
0.0,0.619,39,0.75,1072769,43553.749616
1.0,0.62,39,0.75,1072808,43555.067498
1.0,0.621,39,0.75,1072847,43556.425833
1.0,0.622,39,0.75,1072886,43557.776113
0.0,0.621,39,0.75,1072925,43559.148168
0.0,0.62,39,0.75,1072964,43560.533847
1.0,0.62,39,0.75,1073003,43562.100924
1.0,0.62,39,0.75,1073042,43563.592921
1.0,0.621,39,0.75,1073081,43565.389071
1.0,0.621,39,0.75,1073120,43567.521393
1.0,0.621,39,0.75,1073159,43568.989289
0.0,0.621,39,0.75,1073198,43570.381602
1.0,0.621,39,0.75,1073237,43571.937699
1.0,0.621,39,0.75,1073276,43573.631894
0.0,0.62,39,0.75,1073315,43574.729612
1.0,0.62,39,0.75,1073354,43576.338498
1.0,0.62,39,0.75,1073393,43578.440133
1.0,0.62,39,0.75,1073432,43580.120875
1.0,0.62,39,0.75,1073471,43581.586678
0.0,0.62,39,0.75,1073510,43582.84126
1.0,0.621,39,0.75,1073549,43584.126845
1.0,0.621,39,0.75,1073588,43585.489549
1.0,0.621,39,0.75,1073627,43587.010186
1.0,0.622,39,0.75,1073666,43589.568951
1.0,0.622,39,0.75,1073705,43590.878398
0.0,0.621,39,0.75,1073744,43592.101463
0.0,0.62,39,0.75,1073783,43593.461251
0.0,0.619,39,0.75,1073822,43595.103996
1.0,0.62,39,0.75,1073861,43596.420151
1.0,0.621,39,0.75,1073900,43598.068959
1.0,0.621,39,0.75,1073939,43600.230739
1.0,0.622,39,0.75,1073978,43601.640926
1.0,0.622,39,0.75,1074017,43603.363962
1.0,0.622,39,0.75,1074056,43604.914961
1.0,0.623,39,0.75,1074095,43606.35713
1.0,0.623,39,0.75,1074134,43608.079716
0.0,0.622,39,0.75,1074173,43610.05921
0.0,0.621,39,0.75,1074212,43611.264798
1.0,0.621,39,0.75,1074251,43612.580772
0.0,0.62,39,0.75,1074290,43613.804694
0.0,0.619,39,0.75,1074329,43615.318076
0.0,0.618,39,0.75,1074368,43616.646261
0.0,0.618,39,0.75,1074407,43617.886897
0.0,0.618,39,0.75,1074446,43619.18505
0.0,0.618,39,0.75,1074485,43620.644353
0.0,0.617,39,0.75,1074524,43622.093301
0.0,0.616,39,0.75,1074563,43623.277625
0.0,0.616,39,0.75,1074602,43624.65375
0.0,0.615,35,0.75,1074637,43625.611809
0.0,0.615,39,0.75,1074676,43627.213321
1.0,0.615,39,0.75,1074715,43629.622573
1.0,0.616,39,0.75,1074754,43631.145372
1.0,0.616,39,0.75,1074793,43632.504107
